gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
HSPA13,0.003065284908539732,3.124019235540151,0.021134323250988758,0.9831796732011048,1,-10.671235029220151
PCDHGB9P,2.775210693162792e-4,0.015799128508527997,0.021123440815046197,0.9831883329831195,1,-10.671235261399307
IGHV1-17,5.869289202106676e-4,0.06676291457000637,0.02111038066480937,0.9831987257006697,1,-10.67123553988261
ZNF518A,-0.002556428749032605,4.41470920910352,-0.020965665884701567,0.9833138838214865,1,-10.67123861412731
ST6GAL2,1.3778750821183275e-4,0.0040886820855165675,0.020829982874673462,0.9834218551484859,1,-10.671241477297604
GPN2,-0.0011751324401930022,5.671786503597882,-0.020815847902394324,0.9834331032341754,1,-10.671241774503322
ZFAS1,0.0020756654455480607,6.639887774943442,0.020690924464501523,0.9835325128089661,1,-10.671244392406358
ANKRD20A2P,8.423693282591756e-4,0.32685688153657494,0.02066886747752104,0.9835500649921767,1,-10.671244852997111
PWP2,-0.0013555607490911073,3.752472112882857,-0.02065045877841226,0.983564714000954,1,-10.671245237028758
LOC124900886,3.9328581420678457e-4,0.07017188967242616,0.020642718022442014,0.9835708738296525,1,-10.671245398409749
MXD4,-0.0012698258724318876,6.920607392051587,-0.02063272995048155,0.9835788219969773,1,-10.671245606553867
NOP9,-0.0014319710627049038,7.268605476385285,-0.02061548011272211,0.9835925488339763,1,-10.67124596579066
RPL36AP43,2.507225260780769e-4,0.02824830712148281,0.020558016752060208,0.9836382762668501,1,-10.671247160327281
TAFA5,1.2647195747692225e-4,0.003802911393723539,0.020555470829108448,0.9836403022289956,1,-10.671247213174276
CCDC51,0.0015567181993890989,2.4501327857923667,0.02048508518137193,0.9836963128657736,1,-10.67124867161256
RPLP0,0.002339509228002536,8.67580592848734,0.020469762782270008,0.9837085059494449,1,-10.671248988440013
RAB6A,0.0017885896899115503,5.606039277727482,0.020466124103961366,0.9837114014958585,1,-10.671249063643597
PPM1B,-0.0022605099081207843,5.001327160242379,-0.02042514503374505,0.9837440113735122,1,-10.671249909669013
EZHIP,9.427278846494113e-4,0.28681589869112545,0.02041951167253831,0.9837484942304222,1,-10.671250025838903
WDR24,0.0010812558648846725,5.403873311895713,0.020389352963352488,0.9837724936195572,1,-10.671250647219933
AAR2,-0.0011933752378644289,4.6156299968656205,-0.020315904646763385,0.9838309416320031,1,-10.671252156685087
CNST,0.0021458166595407836,4.326831533793798,0.020216126865638857,0.9839103419997912,1,-10.671254198530997
RPS2P44,-8.415650023010402e-4,0.36866042004177263,-0.02020497670573329,0.9839192149952745,1,-10.671254426082665
ZNF654,-0.0025200866319339994,3.4332575517228747,-0.020187068905466524,0.9839334655422911,1,-10.671254791281054
