mirna,contrast,test,n_group_a,n_group_b,log2fc,pvalue,padj,direction
novel_miR_2209,case_after_vs_control,welch_t,10,10,-1.0072063820561752,0.1686769015633838,0.3090541576302154,down_in_case_after
novel_miR_2210,case_after_vs_control,welch_t,10,10,1.5408490057959705,0.0462084731751125,0.19573581794141648,up_in_case_after
novel_miR_2213,case_after_vs_control,welch_t,10,10,-1.148839242687213,0.08595283972255297,0.23565249158904025,down_in_case_after
novel_miR_2218,case_after_vs_control,welch_t,10,10,-0.6384431985903556,0.19011377855240347,0.3210775348203721,down_in_case_after
novel_miR_222,case_after_vs_control,welch_t,10,10,-2.618406917918269,0.0024240415591843464,0.09558803881716939,down_in_case_after
novel_miR_2222,case_after_vs_control,welch_t,10,10,-1.2647829727127358,0.06323225766227535,0.2130352741558968,down_in_case_after
novel_miR_2232,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2233,case_after_vs_control,welch_t,10,10,0.23781061959616423,0.16844928829326367,0.3090541576302154,up_in_case_after
novel_miR_2234,case_after_vs_control,welch_t,10,10,-0.4948853652236288,0.336321370416358,0.4192830305791041,down_in_case_after
novel_miR_2235,case_after_vs_control,welch_t,10,10,-0.12093692882149605,0.34343639613791366,0.4192830305791041,down_in_case_after
novel_miR_2241,case_after_vs_control,welch_t,10,10,-1.5361516635188928,0.07984944519625212,0.22707185977684197,down_in_case_after
novel_miR_2242,case_after_vs_control,welch_t,10,10,0.927931520831437,0.03576579874539115,0.18343586707766135,up_in_case_after
novel_miR_2244,case_after_vs_control,welch_t,10,10,-1.0204506925813142,0.10111839001573689,0.2450977038831672,down_in_case_after
novel_miR_2249,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2250,case_after_vs_control,welch_t,10,10,-1.0027143971547041,0.0920881081774823,0.2420105153204281,down_in_case_after
novel_miR_2253,case_after_vs_control,welch_t,10,10,-1.9691860102796976,0.020989631446585437,0.15140691464213765,down_in_case_after
novel_miR_2258,case_after_vs_control,welch_t,10,10,-0.15800433852874635,0.34343639613791355,0.4192830305791041,down_in_case_after
